Subject;AgeGroup;ItemID;Position;CorrectChoice;RiskyChoice;Gender;NegativeAffect;Numeracy
3;younger;64;2;1;1;male;1.25;10
3;younger;65;90;1;0;male;1.25;10
3;younger;66;25;1;1;male;1.25;10
3;younger;67;36;1;1;male;1.25;10
3;younger;68;1;1;0;male;1.25;10
3;younger;69;81;1;1;male;1.25;10
3;younger;70;88;0;0;male;1.25;10
3;younger;71;44;1;1;male;1.25;10
3;younger;72;45;1;0;male;1.25;10
3;younger;73;8;1;1;male;1.25;10
3;younger;74;78;1;0;male;1.25;10
3;younger;75;31;1;0;male;1.25;10
3;younger;76;94;1;1;male;1.25;10
3;younger;77;57;1;0;male;1.25;10
3;younger;78;17;1;0;male;1.25;10
3;younger;79;23;1;1;male;1.25;10
3;younger;80;35;1;1;male;1.25;10
3;younger;81;83;1;1;male;1.25;10
3;younger;82;98;1;0;male;1.25;10
3;younger;83;19;0;0;male;1.25;10
3;younger;84;62;1;0;male;1.25;10
3;younger;85;6;1;1;male;1.25;10
3;younger;86;66;0;0;male;1.25;10
3;younger;87;80;0;0;male;1.25;10
3;younger;88;76;1;1;male;1.25;10
3;younger;89;59;1;0;male;1.25;10
3;younger;90;63;1;1;male;1.25;10
3;younger;91;15;1;1;male;1.25;10
3;younger;92;20;0;0;male;1.25;10
3;younger;93;79;0;1;male;1.25;10
3;younger;94;56;0;0;male;1.25;10
3;younger;95;72;1;0;male;1.25;10
3;younger;96;86;0;0;male;1.25;10
3;younger;97;75;1;0;male;1.25;10
3;younger;98;84;1;1;male;1.25;10
3;younger;99;46;0;0;male;1.25;10
3;younger;100;52;0;1;male;1.25;10
3;younger;101;95;1;1;male;1.25;10
3;younger;102;87;1;0;male;1.25;10
3;younger;103;40;1;1;male;1.25;10
3;younger;104;24;1;0;male;1.25;10
3;younger;105;38;0;0;male;1.25;10
4;younger;1;56;0;0;female;1.25;10
4;younger;2;40;0;1;female;1.25;10
4;younger;3;11;0;0;female;1.25;10
4;younger;4;49;0;1;female;1.25;10
4;younger;5;62;1;1;female;1.25;10
4;younger;6;43;1;NA;female;1.25;10
4;younger;7;3;0;0;female;1.25;10
4;younger;8;64;1;0;female;1.25;10
4;younger;9;1;1;1;female;1.25;10
4;younger;10;94;0;1;female;1.25;10
4;younger;11;83;1;1;female;1.25;10
4;younger;12;103;1;0;female;1.25;10
4;younger;13;8;1;0;female;1.25;10
4;younger;14;73;1;0;female;1.25;10
4;younger;15;72;1;0;female;1.25;10
4;younger;16;88;1;0;female;1.25;10
4;younger;17;15;0;0;female;1.25;10
4;younger;18;21;0;0;female;1.25;10
4;younger;19;31;0;0;female;1.25;10
4;younger;20;105;0;0;female;1.25;10
4;younger;21;6;0;0;female;1.25;10
4;younger;22;38;1;NA;female;1.25;10
4;younger;23;76;1;0;female;1.25;10
4;younger;24;82;NA;0;female;1.25;10
4;younger;25;46;0;0;female;1.25;10
4;younger;26;100;1;1;female;1.25;10
4;younger;27;86;0;0;female;1.25;10
4;younger;28;99;1;1;female;1.25;10
4;younger;29;80;1;1;female;1.25;10
4;younger;30;59;0;0;female;1.25;10
4;younger;31;65;0;1;female;1.25;10
4;younger;32;75;0;0;female;1.25;10
4;younger;33;57;1;1;female;1.25;10
4;younger;34;44;0;1;female;1.25;10
4;younger;35;53;0;0;female;1.25;10
4;younger;36;18;1;0;female;1.25;10
4;younger;37;45;1;1;female;1.25;10
4;younger;38;5;1;0;female;1.25;10
4;younger;39;2;1;1;female;1.25;10
4;younger;40;16;1;0;female;1.25;10
4;younger;41;97;1;1;female;1.25;10
4;younger;42;39;1;1;female;1.25;10
4;younger;43;20;1;0;female;1.25;10
4;younger;44;26;1;1;female;1.25;10
4;younger;45;17;1;1;female;1.25;10
4;younger;46;85;0;1;female;1.25;10
4;younger;47;95;1;0;female;1.25;10
4;younger;48;9;0;0;female;1.25;10
4;younger;49;96;1;0;female;1.25;10
4;younger;50;25;1;0;female;1.25;10
4;younger;51;93;0;0;female;1.25;10
4;younger;52;60;1;1;female;1.25;10
4;younger;53;71;1;1;female;1.25;10
4;younger;54;28;0;0;female;1.25;10
4;younger;55;68;1;0;female;1.25;10
4;younger;56;66;0;0;female;1.25;10
4;younger;57;24;1;0;female;1.25;10
4;younger;58;102;0;0;female;1.25;10
4;younger;59;78;1;1;female;1.25;10
4;younger;60;13;1;1;female;1.25;10
4;younger;61;47;1;0;female;1.25;10
4;younger;62;70;1;1;female;1.25;10
4;younger;63;84;1;0;female;1.25;10
4;younger;64;51;0;0;female;1.25;10
4;younger;65;89;1;0;female;1.25;10
4;younger;66;30;1;1;female;1.25;10
4;younger;67;14;1;1;female;1.25;10
4;younger;68;37;1;0;female;1.25;10
4;younger;69;69;1;1;female;1.25;10
4;younger;70;98;1;1;female;1.25;10
4;younger;71;32;1;1;female;1.25;10
4;younger;72;12;1;0;female;1.25;10
4;younger;73;87;1;1;female;1.25;10
4;younger;74;48;1;0;female;1.25;10
4;younger;75;74;1;0;female;1.25;10
4;younger;76;91;1;1;female;1.25;10
4;younger;77;52;1;0;female;1.25;10
4;younger;78;67;1;0;female;1.25;10
4;younger;79;50;1;1;female;1.25;10
4;younger;80;23;1;1;female;1.25;10
4;younger;81;77;0;0;female;1.25;10
4;younger;82;61;1;0;female;1.25;10
4;younger;83;42;1;1;female;1.25;10
4;younger;84;54;1;0;female;1.25;10
4;younger;85;19;1;1;female;1.25;10
4;younger;86;7;0;0;female;1.25;10
4;younger;87;79;1;1;female;1.25;10
4;younger;88;27;0;0;female;1.25;10
4;younger;89;33;1;0;female;1.25;10
4;younger;90;4;1;1;female;1.25;10
4;younger;91;10;1;1;female;1.25;10
4;younger;92;104;0;0;female;1.25;10
4;younger;93;41;1;0;female;1.25;10
4;younger;94;58;0;0;female;1.25;10
4;younger;95;101;1;0;female;1.25;10
4;younger;96;34;0;0;female;1.25;10
4;younger;97;92;1;0;female;1.25;10
4;younger;98;22;1;1;female;1.25;10
4;younger;99;29;1;1;female;1.25;10
4;younger;100;35;1;0;female;1.25;10
4;younger;101;81;1;1;female;1.25;10
4;younger;102;55;1;0;female;1.25;10
4;younger;103;63;0;0;female;1.25;10
4;younger;104;36;1;0;female;1.25;10
4;younger;105;90;0;0;female;1.25;10
5;younger;1;13;0;0;male;4;9
5;younger;2;36;0;1;male;4;9
5;younger;3;4;1;1;male;4;9
5;younger;4;58;0;1;male;4;9
5;younger;5;91;0;0;male;4;9
5;younger;6;59;1;NA;male;4;9
5;younger;7;20;1;1;male;4;9
5;younger;8;66;1;0;male;4;9
5;younger;9;56;1;1;male;4;9
5;younger;10;88;1;0;male;4;9
5;younger;11;95;1;1;male;4;9
5;younger;12;6;0;1;male;4;9
5;younger;13;78;0;1;male;4;9
5;younger;14;26;0;1;male;4;9
5;younger;15;73;0;1;male;4;9
5;younger;16;14;0;1;male;4;9
5;younger;17;77;1;1;male;4;9
5;younger;18;46;1;1;male;4;9
5;younger;19;24;1;1;male;4;9
5;younger;20;54;1;1;male;4;9
5;younger;21;30;1;1;male;4;9
5;younger;22;8;1;NA;male;4;9
5;younger;23;104;1;0;male;4;9
5;younger;24;63;NA;0;male;4;9
5;younger;25;102;0;0;male;4;9
5;younger;26;27;0;0;male;4;9
5;younger;27;1;0;0;male;4;9
5;younger;28;2;1;1;male;4;9
5;younger;29;22;0;0;male;4;9
5;younger;30;98;0;0;male;4;9
5;younger;31;41;1;0;male;4;9
5;younger;32;86;1;1;male;4;9
5;younger;33;28;0;0;male;4;9
5;younger;34;5;1;0;male;4;9
5;younger;35;16;0;0;male;4;9
5;younger;36;70;1;0;male;4;9
5;younger;37;92;1;1;male;4;9
5;younger;38;90;1;0;male;4;9
5;younger;39;18;0;0;male;4;9
5;younger;40;47;1;0;male;4;9
5;younger;41;50;0;0;male;4;9
5;younger;42;44;0;0;male;4;9
5;younger;43;84;1;0;male;4;9
5;younger;44;61;1;1;male;4;9
5;younger;45;29;1;1;male;4;9
5;younger;46;19;0;1;male;4;9
5;younger;47;11;0;1;male;4;9
5;younger;48;94;1;1;male;4;9
5;younger;49;25;0;1;male;4;9
5;younger;50;32;1;0;male;4;9
5;younger;51;82;0;0;male;4;9
5;younger;52;99;1;1;male;4;9
5;younger;53;75;1;1;male;4;9
5;younger;54;69;0;0;male;4;9
5;younger;55;37;1;0;male;4;9
5;younger;56;71;0;0;male;4;9
5;younger;57;21;1;0;male;4;9
5;younger;58;93;1;1;male;4;9
5;younger;59;68;1;1;male;4;9
5;younger;60;72;0;0;male;4;9
5;younger;61;79;1;0;male;4;9
5;younger;62;49;0;0;male;4;9
5;younger;63;96;1;0;male;4;9
5;younger;64;45;1;1;male;4;9
5;younger;65;67;1;0;male;4;9
5;younger;66;62;0;0;male;4;9
5;younger;67;48;1;1;male;4;9
5;younger;68;40;1;0;male;4;9
5;younger;69;51;1;1;male;4;9
5;younger;70;17;0;0;male;4;9
5;younger;71;9;1;1;male;4;9
5;younger;72;83;1;0;male;4;9
5;younger;73;85;0;0;male;4;9
5;younger;74;60;0;1;male;4;9
5;younger;75;65;0;1;male;4;9
5;younger;76;89;1;1;male;4;9
5;younger;77;33;0;1;male;4;9
5;younger;78;74;1;0;male;4;9
5;younger;79;57;1;1;male;4;9
5;younger;80;81;0;0;male;4;9
5;younger;81;34;0;0;male;4;9
5;younger;82;39;0;1;male;4;9
5;younger;83;53;1;1;male;4;9
5;younger;84;76;0;1;male;4;9
5;younger;85;7;0;0;male;4;9
5;younger;86;12;0;0;male;4;9
5;younger;87;15;0;0;male;4;9
5;younger;88;80;0;0;male;4;9
5;younger;89;97;1;0;male;4;9
5;younger;90;3;1;1;male;4;9
5;younger;91;31;1;1;male;4;9
5;younger;92;10;0;0;male;4;9
5;younger;93;64;1;0;male;4;9
5;younger;94;101;1;1;male;4;9
5;younger;95;52;1;0;male;4;9
5;younger;96;105;1;1;male;4;9
5;younger;97;38;0;1;male;4;9
5;younger;98;35;1;1;male;4;9
5;younger;99;43;0;0;male;4;9
5;younger;100;55;0;1;male;4;9
5;younger;101;42;1;1;male;4;9
5;younger;102;100;0;1;male;4;9
5;younger;103;103;1;1;male;4;9
5;younger;104;87;1;0;male;4;9
5;younger;105;23;1;1;male;4;9
6;younger;1;60;1;1;female;6;9
6;younger;2;86;1;0;female;6;9
6;younger;3;63;0;0;female;6;9
6;younger;4;79;0;1;female;6;9
6;younger;5;20;0;0;female;6;9
6;younger;6;70;0;NA;female;6;9
6;younger;7;104;1;1;female;6;9
6;younger;8;25;0;1;female;6;9
6;younger;9;41;1;1;female;6;9
6;younger;10;97;1;0;female;6;9
6;younger;11;95;1;1;female;6;9
6;younger;12;74;1;0;female;6;9
6;younger;13;14;1;0;female;6;9
6;younger;14;66;1;0;female;6;9
6;younger;15;44;1;0;female;6;9
6;younger;16;3;1;0;female;6;9
6;younger;17;8;0;0;female;6;9
6;younger;18;53;0;0;female;6;9
6;younger;19;40;0;0;female;6;9
6;younger;20;36;0;0;female;6;9
6;younger;21;68;1;1;female;6;9
6;younger;22;78;1;NA;female;6;9
6;younger;23;72;1;0;female;6;9
6;younger;24;42;NA;0;female;6;9
6;younger;25;99;0;0;female;6;9
6;younger;26;57;0;0;female;6;9
6;younger;27;75;0;0;female;6;9
6;younger;28;13;0;0;female;6;9
6;younger;29;65;1;1;female;6;9
6;younger;30;98;1;1;female;6;9
6;younger;31;12;1;0;female;6;9
6;younger;32;69;1;1;female;6;9
6;younger;33;49;0;0;female;6;9
6;younger;34;93;0;1;female;6;9
6;younger;35;101;0;0;female;6;9
6;younger;36;48;1;0;female;6;9
6;younger;37;102;1;1;female;6;9
6;younger;38;39;1;0;female;6;9
6;younger;39;81;0;0;female;6;9
6;younger;40;43;1;0;female;6;9
6;younger;41;28;0;0;female;6;9
6;younger;42;51;1;1;female;6;9
6;younger;43;64;1;0;female;6;9
6;younger;44;19;1;1;female;6;9
6;younger;45;62;1;1;female;6;9
6;younger;46;87;1;0;female;6;9
6;younger;47;77;1;0;female;6;9
6;younger;48;17;0;0;female;6;9
6;younger;49;76;1;0;female;6;9
6;younger;50;92;1;0;female;6;9
6;younger;51;54;1;1;female;6;9
6;younger;52;18;0;0;female;6;9
6;younger;53;90;1;1;female;6;9
6;younger;54;103;0;0;female;6;9
6;younger;55;1;1;0;female;6;9
6;younger;56;100;0;0;female;6;9
6;younger;57;29;1;0;female;6;9
6;younger;58;94;0;0;female;6;9
6;younger;59;71;1;1;female;6;9
6;younger;60;2;1;1;female;6;9
6;younger;61;6;1;0;female;6;9
6;younger;62;47;1;1;female;6;9
6;younger;63;55;0;1;female;6;9
6;younger;64;38;1;1;female;6;9
6;younger;65;73;0;1;female;6;9
6;younger;66;27;1;1;female;6;9
6;younger;67;50;1;1;female;6;9
6;younger;68;67;0;1;female;6;9
6;younger;69;21;1;1;female;6;9
6;younger;70;15;1;1;female;6;9
6;younger;71;85;1;1;female;6;9
6;younger;72;61;1;0;female;6;9
6;younger;73;30;1;1;female;6;9
6;younger;74;91;1;0;female;6;9
6;younger;75;45;0;1;female;6;9
6;younger;76;105;1;1;female;6;9
6;younger;77;34;0;1;female;6;9
6;younger;78;5;1;0;female;6;9
6;younger;79;56;1;1;female;6;9
6;younger;80;22;1;1;female;6;9
6;younger;81;35;0;0;female;6;9
6;younger;82;4;1;0;female;6;9
6;younger;83;96;1;1;female;6;9
6;younger;84;82;1;0;female;6;9
6;younger;85;58;0;0;female;6;9
6;younger;86;59;0;0;female;6;9
6;younger;87;84;1;1;female;6;9
6;younger;88;80;0;0;female;6;9
6;younger;89;9;1;0;female;6;9
6;younger;90;31;1;1;female;6;9
6;younger;91;88;1;1;female;6;9
6;younger;92;16;0;0;female;6;9
6;younger;93;7;1;0;female;6;9
6;younger;94;83;0;0;female;6;9
6;younger;95;32;1;0;female;6;9
6;younger;96;52;1;1;female;6;9
6;younger;97;89;1;0;female;6;9
6;younger;98;11;1;1;female;6;9
6;younger;99;33;1;1;female;6;9
6;younger;100;46;1;0;female;6;9
6;younger;101;37;1;1;female;6;9
6;younger;102;26;1;0;female;6;9
6;younger;103;10;0;0;female;6;9
6;younger;104;23;1;0;female;6;9
6;younger;105;24;1;1;female;6;9
7;younger;1;97;1;1;male;1;10
7;younger;2;79;1;0;male;1;10
7;younger;3;90;1;1;male;1;10
7;younger;4;100;0;1;male;1;10
7;younger;5;91;1;1;male;1;10
7;younger;6;53;1;NA;male;1;10
7;younger;7;45;1;1;male;1;10
7;younger;8;86;1;0;male;1;10
7;younger;9;25;1;1;male;1;10
7;younger;10;10;0;1;male;1;10
7;younger;11;34;1;1;male;1;10
7;younger;12;74;1;0;male;1;10
7;younger;13;82;1;0;male;1;10
7;younger;14;67;1;0;male;1;10
7;younger;15;40;1;0;male;1;10
7;younger;16;5;1;0;male;1;10
7;younger;17;44;0;0;male;1;10
7;younger;18;65;0;0;male;1;10
7;younger;19;84;0;0;male;1;10
7;younger;20;14;1;1;male;1;10
7;younger;21;38;1;1;male;1;10
7;younger;22;2;1;NA;male;1;10
7;younger;23;42;1;0;male;1;10
7;younger;24;101;NA;0;male;1;10
7;younger;25;61;1;1;male;1;10
7;younger;26;31;1;1;male;1;10
7;younger;27;17;1;1;male;1;10
7;younger;28;73;1;1;male;1;10
7;younger;29;22;1;1;male;1;10
7;younger;30;104;1;1;male;1;10
7;younger;31;48;1;0;male;1;10
7;younger;32;32;1;1;male;1;10
7;younger;33;95;1;1;male;1;10
7;younger;34;93;0;1;male;1;10
7;younger;35;64;0;0;male;1;10
7;younger;36;57;0;1;male;1;10
7;younger;37;71;1;1;male;1;10
7;younger;38;8;1;0;male;1;10
7;younger;39;36;1;1;male;1;10
7;younger;40;20;1;0;male;1;10
7;younger;41;60;1;1;male;1;10
7;younger;42;68;1;1;male;1;10
7;younger;43;49;0;1;male;1;10
7;younger;44;4;1;1;male;1;10
7;younger;45;43;1;1;male;1;10
7;younger;46;102;0;1;male;1;10
7;younger;47;88;1;0;male;1;10
7;younger;48;56;0;0;male;1;10
7;younger;49;12;1;0;male;1;10
7;younger;50;16;1;0;male;1;10
7;younger;51;26;1;1;male;1;10
7;younger;52;46;1;1;male;1;10
7;younger;53;27;1;1;male;1;10
7;younger;54;70;0;0;male;1;10
7;younger;55;24;1;0;male;1;10
